Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
Cib2,0.1724170716123462,1.0,1.0,1.0,0.5,0.5,0.2227204372603787,1.0,0.09779338792778468,0.10392549339902571,-0.03134634146341497
Cib3,1.2161101195387598e-06,0.02620314464923157,0.022800800279996647,0.02306474452717212,0.02306474452717212,0.01857243374559594,9.254983739982322e-06,9.781094611036278e-05,4.063732211926835e-06,4.318547338577488e-06,0.6675579268292688
Cib4,4.7803883478393284e-05,0.6478770731395098,0.5570343316002024,0.8142435472874728,0.5,0.4065548339778589,0.0002168438779307541,0.0022917063340715917,9.521307400028119e-05,0.00010118338164973034,0.15422743902438985
Cic,1.106723648145106e-06,0.023874600282979053,0.020814721253305968,0.021034389656645884,0.021034389656645884,0.01701698281387915,8.518613741925326e-06,9.002864759739118e-05,3.7404025805550106e-06,3.974943418283252e-06,-0.1226152439024375
Cidea,1.0870689766845777e-09,2.373478267447826e-05,2.263578140582201e-05,2.263603730150296e-05,2.263603730150296e-05,2.1468525220543725e-05,2.3453620589852834e-08,2.478687033988644e-07,1.0298152450074156e-08,1.094389505415907e-08,-1.2527262195121969
Cideb,0.05842537396930531,1.0,1.0,1.0,0.5,0.5,0.0925899783518051,0.9785336892385901,0.04065494744246384,0.04320420389964931,-0.03923963414633924
Cidec,0.08034187136812704,1.0,1.0,1.0,0.5,0.5,0.12043007136150527,1.0,0.05287913777332376,0.05619490847035449,-0.18129451219512127
Ciita,0.0025101711750150266,1.0,0.999999999999998,1.0,0.5,0.5,0.006541878512562555,0.06913759598393616,0.002872446152786352,0.0030525620393773104,-0.0842835365853647
Cilp,0.001353144585226949,0.9999999999998553,0.9999999954096302,1.0,0.5,0.5,0.0038526057195020593,0.04071611803992334,0.001691624577854092,0.0017976973967731476,0.11652987804877935
Cilp2,0.09618302231137477,1.0,1.0,1.0,0.5,0.5,0.139218755709188,1.0,0.06112898282421844,0.06496205761557955,-0.045451219512194996
Cinp,0.044525021480309644,1.0,1.0,1.0,0.5,0.5,0.07370095024402969,0.7789057090893481,0.03236104286843971,0.034390232491925944,0.05439756097560888
Cir1,0.07824714657305314,1.0,1.0,1.0,0.5,0.5,0.11779151946194444,1.0,0.05172058702398376,0.054963711138875576,0.0617463414634134
Cirbp,0.00020179923676207803,0.9878025597829294,0.960165304972184,1.0,0.5,0.5,0.0007496316522629207,0.007922453804575869,0.0003291526358085839,0.00034979205450226596,0.18203292682926886
Cirh1a,0.261845916022618,1.0,1.0,1.0,0.5,0.5,0.30946821295003246,1.0,0.13588310696857933,0.1444036170086504,0.010304878048779997
Cisd1,0.4849289606687371,1.0,1.0,1.0,0.5,0.5,0.4895029224350343,1.0,0.21493379671084883,0.22841115687489671,-0.015107926829269758
Cisd2,0.005376185634881011,1.0,1.0,1.0,0.5,0.5,0.012549154844530553,0.13262526901331115,0.0055101560636857385,0.005855668770234678,-0.08436646341463572
Cish,0.32003728804501785,1.0,1.0,1.0,0.5,0.5,0.3609356798282803,1.0,0.1584817423520071,0.16841929314108703,-0.0607500000000023
Cit,0.005449255306121984,1.0,1.0,1.0,0.5,0.5,0.012703099540929007,0.13425222772295814,0.005577750998391792,0.005927502225332777,-0.07462012195121837
Cited1,0.009939995452504185,1.0,1.0,1.0,0.5,0.5,0.020992470826958484,0.2218581350833277,0.009217496465056837,0.009795476855165203,0.09039085365853694
Cited2,0.43063352097804775,1.0,1.0,1.0,0.5,0.5,0.4502032376825675,1.0,0.19767786203456877,0.21007319391754373,0.022730487804880184
Cited4,0.40665211637604826,1.0,1.0,1.0,0.5,0.5,0.4318950668723025,1.0,0.18963900366880845,0.20153026131515292,-0.010260365853659081
Ciz1,3.237534015353876e-11,7.06882588463742e-07,6.902416831433555e-07,6.902422520734464e-07,6.901775013931392e-07,6.706683850651741e-07,1.3532587812414038e-09,1.4301864319172861e-08,5.941967544087816e-10,6.314556861823124e-10,-0.18769390243902428
Ckap2,0.171216405518673,1.0,1.0,1.0,0.5,0.5,0.2214577484346285,1.0,0.09723895915740513,0.10333629933655127,-0.06416646341463395
Ckap2l,0.00039220834759694337,0.9998093663118104,0.997626660477283,1.0,0.5,0.5,0.00132989087130518,0.014054901445579722,0.000583936236292148,0.0006205517853113432,0.18208109756097457
Ckap4,0.00014309940033031758,0.956047944211975,0.9020183784865196,1.0,0.5,0.5,0.0005571716307362216,0.005888447335972048,0.0002446461676224309,0.0002599866332181568,-0.14402012195121827
Ckap5,0.21236184792586071,1.0,1.0,1.0,0.5,0.5,0.26264318970011624,1.0,0.1153229027963275,0.12255419131369603,0.036274999999999835
Ckb,0.18601145620601112,1.0,1.0,1.0,0.5,0.5,0.2363359373418578,1.0,0.10377176107430569,0.110278738665817,0.06354024390243929
Cklf,9.176389152348353e-06,0.1815624637886295,0.15213083334763355,0.1650281825158328,0.1650094253856275,0.11372299076505314,5.195337731228577e-05,0.0005490673059305704,2.2811991769391024e-05,2.4242410967489432e-05,-0.1524548780487791
Ckm,0.09944657276827779,1.0,1.0,1.0,0.5,0.5,0.14308510509539224,1.0,0.06282664205136601,0.0667661680625456,0.037022256097558603
Ckmt1,1.462824642377533e-06,0.03143466323976807,0.027257330850008477,0.027635683143796354,0.0276327574945116,0.022047693009914177,1.0842981338704465e-05,0.00011459363875637858,4.760999454710987e-06,5.0595365176294715e-06,0.20100914634146338
Ckmt2,0.034136717156631996,1.0,1.0,1.0,0.5,0.5,0.058990910291235495,0.6234432074224586,0.02590207277466679,0.02752625458842406,-0.06537987804878043
Cks1b,0.445525187452556,1.0,1.0,1.0,0.5,0.5,0.46069762301912187,1.0,0.2022857979245361,0.2149700690648652,-0.031951829268290766
Cks2,0.34926686983311006,1.0,1.0,1.0,0.5,0.5,0.3860625138427644,1.0,0.16951457910646617,0.1801439406616818,0.0006697154471542177
Ckt2,3.7127797505856633e-07,0.008073715870462572,0.007180680599749301,0.0072065844348933915,0.007206505495886773,0.006098240740336952,3.342879714403603e-06,3.532909800656012e-05,1.467811112118134e-06,1.5598497738527556e-06,-0.19423109756097645
Clasp1,0.09862098558332905,1.0,1.0,1.0,0.5,0.5,0.1421293023355941,1.0,0.06240696260379869,0.06632017273932321,0.03383841463414505
Clasp2,0.00017158030416752155,0.9764022944059274,0.9366823529384173,1.0,0.5,0.5,0.0006504604776617647,0.006874366991337063,0.0002856079783522643,0.00030351694217686673,0.11735792682926949
Clca1,0.07963858522544087,1.0,1.0,1.0,0.5,0.5,0.11958110651346372,1.0,0.05250636933885576,0.05579876570143563,0.17664939024390147
Clca2,3.4214467131413623e-05,0.5262385980350162,0.4456701455044063,0.589985272855829,0.5,0.3270218768420514,0.00016262257120789193,0.0017186705018213393,7.140526656453512e-05,7.588271268900266e-05,-0.27183536585365786
Clca3,1.6731012968402044e-10,3.653043486262497e-06,3.5299036466041045e-06,3.5299091160734635e-06,3.529741805943779e-06,3.398236044012139e-06,4.9499313977248e-09,5.231316302601932e-08,2.1734447334426886e-09,2.30972994273747e-09,-0.2995493902439037
Clca4,0.4213711911637441,1.0,1.0,1.0,0.5,0.5,0.4432613889178324,1.0,0.19462979461185578,0.20683399832844254,-0.008662804878047936
Clca5,0.28382669324794335,1.0,1.0,1.0,0.5,0.5,0.3293900092931488,1.0,0.14463048543983775,0.15369949726023607,0.013095731707317704
Clca6,0.012280286227801215,1.0,1.0,1.0,0.5,0.5,0.024987102886148718,0.2640752531301423,0.010971482796075283,0.0116594463803937,-0.07362530487804975
Clcc1,0.025826475850547002,1.0,1.0,1.0,0.5,0.5,0.046697633361478814,0.49352217448734365,0.020504269077424996,0.021789983206547146,0.05198780487804733
Clcf1,0.0002368442299696977,0.9943260480157728,0.9765277184462076,1.0,0.5,0.5,0.0008603466624371292,0.00909254120807664,0.00037776602788242,0.00040145373495048265,-0.14239634146341196
